fight_id,fighter_id,fight_date,opponent,result,DECISION,round_finished,finish_time,event,created_at
138,8,2015-09-27,"Ekaterina Golovatova",Win,"Submission (Armbar)",3,5:00,"Kumite Fight: Kumite Fight 4","2025-08-19 11:23:31"
118,7,2015-09-26,"Joachim Tollefsen",Win,"Decision - Unanimous",3,5:00,"IRFA: International Right Fight Arena 9","2025-08-19 11:23:27"
94,6,2015-06-28,"Hacran Dias",Loss,"Decision - Split",3,5:00,"UFC Fight Night: Machida vs. Romero","2025-08-19 11:23:24"
119,7,2015-06-20,"Zsolt Fenyes",Win,KO/TKO,3,2:30,"AFC: Austrian Fight Challenge 1","2025-08-19 11:23:27"
85,5,2015-05-29,"Ivo Ivanov",Loss,KO/TKO,3,4:10,"MFE: Mix Fight Events","2025-08-19 11:23:22"
95,6,2015-05-16,"Mark Eddiva",Win,"Decision - Split",3,5:00,"UFC Fight Night: Edgar vs. Faber","2025-08-19 11:23:24"
16,1,2015-05-09,"Kalil Martin El Chalibi",Win,"Submission (Rear Naked Choke)",1,1:03,"Climent Club: Climent Show MMA 4","2025-08-19 11:09:30"
86,5,2015-05-09,"Alejandro Rumin",Win,"Submission (Rear Naked Choke)",1,2:59,"Climent Club: Climent Show MMA 4","2025-08-19 11:23:22"
17,1,2015-04-04,"Francisco Javier Asprilla",Win,"Submission (Triangle Choke)",1,3:30,"WCW: West Coast Warriors","2025-08-19 11:09:30"
87,5,2015-04-04,"Andrew Braulio Lazaro Chiguano",Win,"Submission (Armbar)",1,1:30,"WCW: West Coast Warriors","2025-08-19 11:23:22"
120,7,2015-03-06,"Pawel Kielek",Loss,"Submission (Kneebar)",1,1:15,"FEN 6: Showtime","2025-08-19 11:23:27"
96,6,2014-12-13,"Alexandre Bezerra",Win,"Decision - Unanimous",3,5:00,"CFFC 44: Bezerra vs Makashvili 2","2025-08-19 11:23:24"
39,2,2014-11-01,"Ricky Bandejas",Loss,"Decision - Unanimous",3,5:00,"CFFC 43: Webb vs. Good","2025-08-19 11:14:29"
40,2,2014-09-19,"Dennis Dombrow",Win,KO/TKO,3,0:50,"ROC 49: Ring of Combat 49","2025-08-19 11:14:29"
97,6,2014-08-09,"Alexandre Bezerra",Loss,"Decision - Majority",5,5:00,"CFFC 38: Felder vs. Johnson","2025-08-19 11:23:24"
98,6,2014-04-26,"Scott Heckman",Win,"TKO (Punches)",4,2:30,"CFFC 35: Heckman vs Makashvili","2025-08-19 11:23:24"
121,7,2014-04-05,"Oliver Enkamp",Loss,"Unanimous Decision",3,5:00,"IRFA: International Ring Fight Arena 6","2025-08-19 11:23:27"
99,6,2014-02-22,"Jordan Stiner",Win,"Decision - Unanimous",3,5:00,"CFFC 32: Stripling vs Anyanwu","2025-08-19 11:23:24"
41,2,2014-01-24,"Darren Mima",Loss,"Decision - Majority",3,4:00,"ROC 47: Ring of Combat 47","2025-08-19 11:14:29"
100,6,2013-09-20,"Tom English",Win,"KO (Punch)",2,1:39,"ROC 46: Ring of Combat 46","2025-08-19 11:23:24"
101,6,2013-04-13,"Thomas Wash",Win,"TKO (Punches)",1,0:17,"TWEF: Turf Wars 11","2025-08-19 11:23:24"
102,6,2013-04-05,"Anthony Facchini",Win,"Decision - Unanimous",3,4:00,"ROC 44: Ring of Combat 44","2025-08-19 11:23:24"
122,7,2013-03-23,"Jonathan Svensson",Win,KO/TKO,3,5:00,"HFC: Heroes Fighting","2025-08-19 11:23:27"
123,7,2013-02-09,"Erik Friberg",Win,KO/TKO,2,2:36,"FFC - Fight for Change 2","2025-08-19 11:23:27"
103,6,2012-11-16,"Levan Kveselava",Win,TKO,1,2:05,"GUFF: Determination","2025-08-19 11:23:24"
104,6,2012-08-06,"Garik Abriamiani",Win,TKO,3,1:11,"GUFF: Batubi Circus","2025-08-19 11:23:24"
105,6,2011-09-22,"Giorgi Aptsiauri",Win,"Decision - Unanimous",3,3:00,"GUFF: Georgian Universal Fighting Federation","2025-08-19 11:23:24"
106,6,2011-09-17,"Giorgi Turashvili",Win,TKO,1,0:51,"GUFF: Georgian Universal Fighting Federation","2025-08-19 11:23:24"
124,7,2010-05-15,"Dimitri Izoria",Win,"Submission (Armbar)",1,5:00,"M-1 Georgia 2010","2025-08-19 11:23:27"
